1. Poloniex
2,Ethereum,ETH/BTC,"$ 38,143",$ 11.03,27.03 %
3,Bitcoin,BTC/USD,"$ 25,090",$ 420.14,17.78 %
4,Ethereum,ETH/CAD,"$ 17,804",$ 11.20,12.62 %
Total,"$ 141,133",,
31. BX Thailand
1,Bitcoin,BTC/THB,"$ 140,405",$ 422.26,99.62 %
2,Ethereum,ETH/BTC,$ 414,$ 9.34,0.29 %
3,Dogecoin,DOGE/BTC,$ 113,$ 0.000215,0.08 %
4,Litecoin,LTC/BTC,$ 6,$ 3.11,0.00 %
5,Ethereum,ETH/THB,$ 4,$ 11.07,0.00 %
6,CAPTcoin,CAPT/BTC,$ 0,$ 0.001389,0.00 %
7,HyperStake,HYP/BTC,$ 0,$ 0.000147,0.00 %
8,Namecoin,NMC/BTC,$ 0,$ 0.484004,0.00 %
9,Pandacoin,PND/BTC,$ 0,$ 0.000004,0.00 %
10,Peercoin,PPC/BTC,$ 0,$ 0.841738,0.00 %
View More
Total,"$ 140,941",,
32. C-CEX
1,HempCoin,HMP/BTC,"$ 40,305",$ 0.001115,32.78 %
2,TBCoin,TBC/BTC,"$ 36,858",$ 3.11,29.98 %
3,KhanCoin,KNC/BTC,"$ 18,036",$ 0.120216,14.67 %
4,Xiaomicoin,MI/BTC,"$ 5,490",$ 0.000669,4.47 %
5,BitAlphaCoin,BAC/BTC,"$ 4,798",$ 0.009680,3.90 %
6,Ethereum,ETH/BTC,"$ 2,668",$ 10.94,2.17 %
7,DigiEuro,DEUR/BTC,"$ 2,514",$ 0.000408,2.04 %
8,PosEx,PEX/BTC,"$ 1,787",$ 0.576588,1.45 %
9,Stress,STS/BTC,"$ 1,499",$ 0.000181,1.22 %
10,GridCoin,GRC/BTC,"$ 1,218",$ 0.011856,0.99 %
View More
Total,"$ 122,949",,
33. Bittylicious
1,Bitcoin,BTC/GBP,"$ 87,602",$ 447.17,95.02 %
2,Bitcoin,BTC/EUR,"$ 1,676",$ 460.62,1.82 %
3,Ethereum,ETH/GBP,"$ 1,582",$ 11.91,1.72 %
4,Litecoin,LTC/GBP,$ 952,$ 3.81,1.03 %
5,Feathercoin,FTC/GBP,$ 342,$ 0.005991,0.37 %
6,Dogecoin,DOGE/GBP,$ 37,$ 0.000245,0.04 %
7,BlackCoin,BLK/GBP,$ 0,$ 0.035517,0.00 %
8,Litecoin,LTC/EUR,$ 0,$ 4.66,0.00 %
9,Quark,QRK/GBP,$ 0,$ 0.001840,0.00 %
10,WorldCoin,WDC/GBP,$ 0,$ 0.007132,0.00 %
View More
Total,"$ 92,191",,
34. CHBTC
1,Ethereum,ETH/CNY,"$ 52,467",$ 11.14,59.25 %
2,Litecoin,LTC/CNY,"$ 20,943",$ 3.25,23.65 %
3,Bitcoin,BTC/CNY,"$ 15,147",$ 420.57,17.10 %
Total,"$ 88,557",,
35. Jubi
1,Litecoin,LTC/CNY,"$ 31,430",$ 3.26,42.85 %
2,Sharkcoin,SAK/CNY,"$ 15,079",$ 0.036578,20.56 %
3,Vertcoin,VTC/CNY,"$ 6,850",$ 0.058956,9.34 %
4,Dogecoin,DOGE/CNY,"$ 6,468",$ 0.000219,8.82 %
5,Infinitecoin,IFC/CNY,"$ 4,300",$ 0.000009,5.86 %
6,BlackCoin,BLK/CNY,"$ 2,565",$ 0.032378,3.50 %
7,EarthCoin,EAC/CNY,"$ 2,456",$ 0.000148,3.35 %
8,Ripple,XRP/CNY,"$ 2,355",$ 0.007408,3.21 %
9,Zetacoin,ZET/CNY,$ 626,$ 0.003364,0.85 %
10,ZcCoin,ZCC/CNY,$ 277,$ 0.009646,0.38 %
View More
Total,"$ 73,346",,
36. Bitex.la
1,Bitcoin,BTC/USD,"$ 63,200",$ 419.59,100.00 %
37. 247exchange
1,Bitcoin,BTC/USD,"$ 52,748",$ 422.11,96.16 %
2,Bitcoin,BTC/EUR,"$ 1,760",$ 420.93,3.21 %
3,Bitcoin,BTC/GBP,$ 344,$ 421.85,0.63 %
4,Litecoin,LTC/USD,$ 0,$ 3.26,0.00 %
5,Litecoin,LTC/EUR,$ 0,$ 3.28,0.00 %
6,Litecoin,LTC/GBP,$ 0,$ 3.25,0.00 %
Total,"$ 54,851",,
38. CoinMate
1,Bitcoin,BTC/EUR,"$ 51,487",$ 421.06,100.00 %
39. BitcoinToYou
1,Bitcoin,BTC/BRL,"$ 49,444",$ 451.10,100.00 %
40. Bitso
1,Bitcoin,BTC/MXN,"$ 34,240",$ 419.75,100.00 %
41. HitBTC
1,Litecoin,LTC/USD,"$ 10,233",$ 3.37,37.48 %
2,Litecoin,LTC/BTC,"$ 8,032",$ 3.25,29.42 %
3,Ethereum,ETH/BTC,"$ 2,677",$ 11.11,9.80 %
4,Dogecoin,DOGE/BTC,"$ 2,653",$ 0.000218,9.72 %
5,Nxt,NXT/BTC,"$ 1,061",$ 0.008295,3.89 %
6,DigitalNote,XDN/BTC,$ 788,$ 0.000137,2.89 %
7,Bitcoin,BTC/EUR,$ 724,$ 524.50,2.65 %
8,Bitcoin,BTC/USD,$ 413,$ 429.98,1.51 %
9,Bytecoin,BCN/BTC,$ 388,$ 0.000056,1.42 %
10,Monero,XMR/BTC,$ 298,$ 1.54,1.09 %
View More
Total,"$ 27,302",,
42. Loyalbit
